"SegID","split_fID","NHDPlID","WBA_P_I","StreamLeve","StreamOrde","StreamCalc","TotDASqKm","fac_cat","ele","bfh","dtf","fdep","PRISMppt30","PRISMtemp30","MAJOR1","UNIT_NAME","Reclass","dtb_cm","MUKEY","AREASYM","SPATIAL","MUSYM","taxordr","txprtsz","kwfact","ph1t12_","side_slope_1","side_slope_2","mean_slope","v_wid","vf_wid","v_vf_ratio","geom_len","CntLn_Len_m","ch_sinu","meanders","wavelength","mean_meander_length","v_ln_KM","rise_m","v_slope_precent","V_sinu"
"15001300005476_1",1,15001300275516,"{947C1985-2273-4769-9E06-C997C161A49E}",4,5,5,459.18210008,459.18210008,3289,1.10693992311245,4.42775969244981,3731.77596924498,1373.53442382812,17.5456962585449,"Dolostone","Copper Ridge Dolomite","Bedrock",1180.96301269531,657760,"US",3,"s105","Alfisols","fine-silty",0.3,5.08,1.647,1.3936,1.5203,544.954,376.080307876581,0.690113858924938,985.733317630765,667.059341256596,1.47772957616313,5,2.5,133.411868251319,3.94293327,3.87,0.098,1.782
"15001300005476_1",2,15001300275516,"{947C1985-2273-4769-9E06-C997C161A49E}",4,5,5,459.18210008,459.18210008,3193,1.10693992311245,4.42775969244981,3635.77596924498,1373.50268554688,17.5278606414795,"Sand","Tuscaloosa Group; Coker Formation","Alluvial",1078.53186035156,657760,"US",3,"s105","Alfisols","fine-silty",0.3,5.08,2.595,1.4143,2.00465,572.007,305.76476949449,0.534547251160371,985.733317630776,545.96145855244,1.80549982455602,4,2,136.49036463811,3.94293327,3.87,0.098,1.782
"15001300005476_1",3,15001300275516,"{947C1985-2273-4769-9E06-C997C161A49E}",4,5,5,459.18210008,459.18210008,3108,1.10693992311245,4.42775969244981,3550.77596924498,1373.50268554688,17.5278606414795,"Sand","Tuscaloosa Group; Coker Formation","Alluvial",1232.72424316406,657760,"US",3,"s105","Alfisols","fine-silty",0.3,5.08,2.5454,2.8622,2.7038,542.75,106.641910844258,0.19648440505621,985.733317630686,634.00346812482,1.55477590768734,3,1.5,211.33448937494,3.94293327,3.87,0.098,1.782
"15001300005476_1",4,15001300275516,"{947C1985-2273-4769-9E06-C997C161A49E}",4,5,5,459.18210008,459.18210008,2944,1.10693992311245,4.42775969244981,3386.77596924498,1372.76953125,17.5232086181641,"Sand","Alluvial, coastal and low terrace deposits","Alluvial",1232.72424316406,657760,"US",3,"s105","Alfisols","fine-silty",0.3,5.08,2.0925,0.9419,1.5172,1307.139,138.647974490044,0.106069801673765,985.733317630876,633.216918426979,1.55670717086904,1,0.5,633.216918426979,3.94293327,3.87,0.098,1.782
"15001300005476_10",5,15001300275767,"{947C1985-2273-4769-9E06-C997C161A49E}",4,5,5,441.48480007,440.38500007,3759,1.09712871811382,4.38851487245529,4197.85148724553,1373.63940429688,17.4614601135254,"Sand","Tuscaloosa Group; Coker Formation","Alluvial",1511.3876953125,657760,"US",3,"s105","Alfisols","fine-silty",0.3,5.08,2.2998,7.6296,4.9647,1908.282,805.54586529077,0.422131459234416,741.213576310137,474.968850622529,1.5605519716475,6,3,79.1614751037549,1.48242715,1.85,0.125,1.96
"15001300005476_10",6,15001300275767,"{947C1985-2273-4769-9E06-C997C161A49E}",4,5,5,441.48480007,441.40060007,3691,1.09766715350895,4.39066861403578,4130.06686140358,1373.63940429688,17.4614601135254,"Sand","Tuscaloosa Group; Coker Formation","Alluvial",1466.46667480469,657760,"US",3,"s105","Alfisols","fine-silty",0.3,5.08,0.709,1.846,1.2775,927.933,819.626569240027,0.883282057260629,741.213576310253,288.039681260519,2.57330369574967,3,1.5,96.0132270868398,1.48242715,1.85,0.125,1.96
"15001300005476_11",627,15001300330186,"{947C1985-2273-4769-9E06-C997C161A49E}",4,5,5,439.34860009,439.34750009,3780,1.09657766210214,4.38631064840857,4218.63106484086,1373.62634277344,17.4456825256348,"Sand","Tuscaloosa Group; Gordo Formation","Alluvial",1511.3876953125,657760,"US",3,"s105","Alfisols","fine-silty",0.3,5.08,0.793,1.1887,0.99085,71.892,71.8922386799879,1.0000033199798,131.467331396209,96.5411215815987,1.36177547186553,2,1,48.2705607907994,0.13146733,0,0,1.362
"15001300005476_12",628,15001300221911,"{947C1985-2273-4769-9E06-C997C161A49E}",4,5,5,437.9161001,437.8767001,3789,1.09579470617548,4.38317882470192,4227.31788247019,1373.62634277344,17.4456825256348,"Sand","Tuscaloosa Group; Coker Formation","Alluvial",1522.72900390625,657760,"US",3,"s105","Alfisols","fine-silty",0.3,5.08,8.8908,1.0013,4.94605,417.113,389.527905319002,0.933866614847781,536.57217658583,434.21530615287,1.23572837940661,1,0.5,434.21530615287,0.53657218,0.140000000000001,0.026,1.236
"15001300005476_13",7,15001300348481,"{947C1985-2273-4769-9E06-C997C161A49E}",4,5,5,437.3640001,436.6642001,3893,1.09514769401782,4.38059077607129,4331.05907760713,1373.57214355469,17.440954208374,"Sand","Alluvial, coastal and low terrace deposits","Alluvial",1486.3701171875,657760,"US",3,"s105","Alfisols","fine-silty",0.3,5.08,0.9115,5.9195,3.4155,1030.285,441.933209037083,0.428942679974069,669.227749220004,430.018801474037,1.55627555568732,3,1.5,143.339600491346,1.3384555,1.04,0.078,1.732
"15001300005476_13",8,15001300348481,"{947C1985-2273-4769-9E06-C997C161A49E}",4,5,5,437.3640001,437.2869001,3841,1.09548015447696,4.38192061790785,4279.19206179078,1373.62634277344,17.4456825256348,"Sand","Tuscaloosa Group; Coker Formation","Alluvial",1486.3701171875,657760,"US",3,"s105","Alfisols","fine-silty",0.3,5.08,4.4743,1.3114,2.89285,855.087,407.692864698965,0.476785244891999,669.227749220042,357.115055612253,1.87398357672904,1,0.5,357.115055612253,1.3384555,1.04,0.078,1.732
"15001300005476_14",629,15001300257887,"{947C1985-2273-4769-9E06-C997C161A49E}",4,5,5,434.92600012,434.92030012,3926,1.09421463339447,4.37685853357789,4363.68585335779,1373.57214355469,17.440954208374,"Sand","Tuscaloosa Group; Coker Formation","Alluvial",1368.73754882812,657760,"US",3,"s105","Alfisols","fine-silty",0.3,5.08,0.1406,9.3946,4.7676,300.473,180.757972571997,0.601578087122627,167.872156420014,148.050499492303,1.13388443129664,2,1,74.0252497461516,0.16787216,0.159999999999997,0.095,1.134
"15001300005476_15",630,15001300294024,"{947C1985-2273-4769-9E06-C997C161A49E}",4,5,5,432.14980013,432.12950013,3943,1.09271529189146,4.37086116756586,4380.08611675659,1373.57214355469,17.440954208374,"Sand","Alluvial, coastal and low terrace deposits","Alluvial",1368.73754882812,657760,"US",3,"s105","Alfisols","fine-silty",0.3,5.08,0.3339,11.0527,5.6933,270,166.744279507661,0.617571405583928,271.173561904067,252.00766381123,1.07605283824699,2,1,126.003831905615,0.27117356,0.160000000000004,0.059,1.076
"15001300005476_16",631,15001300348484,"{947C1985-2273-4769-9E06-C997C161A49E}",4,5,5,431.85480012,431.79600012,3964,1.09253561158462,4.37014244633848,4401.01424463385,1373.49475097656,17.4435958862305,"Sand","Tuscaloosa Group; Coker Formation","Alluvial",1359.22302246094,657760,"US",3,"s105","Alfisols","fine-silty",0.3,5.08,0.3879,0.0915,0.2397,258.151,258.150923415938,0.999999703336179,463.122053907917,210.440764667669,2.20072405951996,2,1,105.220382333835,0.46312205,0.239999999999995,0.052,2.201
"15001300005476_17",632,15001300257888,"{947C1985-2273-4769-9E06-C997C161A49E}",4,5,5,431.5149001,431.3148001,3991,1.09227616213752,4.36910464855008,4427.91046485501,1373.49475097656,17.4435958862305,"Sand","Tuscaloosa Group; Coker Formation","Alluvial",1359.22302246094,657760,"US",3,"s105","Alfisols","fine-silty",0.3,5.08,0.4205,0.6991,0.5598,786.204,786.204210855691,1.00000026819463,466.719989093095,384.685384373728,1.21325116069309,4,2,96.1713460934321,0.46671999,0.300000000000004,0.064,1.213
"15001300005476_18",633,15001300348486,"{947C1985-2273-4769-9E06-C997C161A49E}",4,5,5,428.1303001,428.1303001,4013,1.0905534035182,4.36221361407281,4449.22136140728,1373.49475097656,17.4435958862305,"Sand","Tuscaloosa Group; Coker Formation","Alluvial",1239.46142578125,657760,"US",3,"s105","Alfisols","fine-silty",0.3,5.08,0.0185,0.2035,0.111,122.829,122.828836365614,0.999998667787038,106.823200438738,105.254183636933,1.0149069305142,1,0.5,105.254183636933,0.1068232,0.100000000000001,0.094,1.015
"15001300005476_19",634,15001300312360,"{947C1985-2273-4769-9E06-C997C161A49E}",4,5,5,414.79410007,414.77130007,4023,1.08321461155611,4.33285844622443,4456.28584462244,1373.42541503906,17.4414958953857,"Sand","Tuscaloosa Group; Coker Formation","Alluvial",1239.46142578125,657760,"US",3,"s105","Alfisols","fine-silty",0.3,5.08,0.3053,0.4915,0.3984,221.042,221.042127137853,1.00000057517509,252.066082359733,225.454669491877,1.11803442762056,2,1,112.727334745938,0.25206608,0.199999999999996,0.079,1.118
"15001300005476_2",9,15001300348132,"{947C1985-2273-4769-9E06-C997C161A49E}",4,5,5,456.58400011,456.37440011,3353,1.10549475989715,4.42197903958861,3795.19790395886,1373.56884765625,17.5519905090332,"Sand","Tuscaloosa Group; Coker Formation","Alluvial",1154.17260742188,657760,"US",3,"s105","Alfisols","fine-silty",0.3,5.08,1.0406,2.2534,1.647,624.073,604.304189758563,0.968322920168895,539.762006888044,228.606050618351,2.36110114070933,3,1.5,76.2020168727837,1.07952401,0.580000000000005,0.054,2.446
"15001300005476_2",10,15001300348132,"{947C1985-2273-4769-9E06-C997C161A49E}",4,5,5,456.58400011,456.52890011,3331,1.10557446491151,4.42229785964605,3773.22978596461,1373.56884765625,17.5519905090332,"Dolostone","Copper Ridge Dolomite","Bedrock",1180.96301269531,657760,"US",3,"s105","Alfisols","fine-silty",0.3,5.08,0.0954,5.8038,2.9496,377.292,367.686544738307,0.97454105769088,539.76200688804,236.89212572757,2.27851392371216,2,1,118.446062863785,1.07952401,0.580000000000005,0.054,2.446
